YEAR,QUARTER,CITY,AIRLINE,PREDICTED_TRAFFIC
2015,Q1,KOLKATA,INDIGO,16917
2015,Q1,KOLKATA,JET AIRWAYS,81881
2015,Q1,KOLKATA,SPICEJET,10725
2015,Q1,KOZHIKODE,AIR INDIA,90890
2015,Q1,KOZHIKODE,AIR INDIA EXPRESS,33735
2015,Q1,KOZHIKODE,INDIGO,23319
2015,Q1,KOZHIKODE,JET AIRWAYS,112867
2015,Q1,KOZHIKODE,SPICEJET,14784
2015,Q1,LUCKNOW,AIR INDIA,19424
2015,Q1,LUCKNOW,AIR INDIA EXPRESS,7209
2015,Q1,LUCKNOW,INDIGO,4983
2015,Q1,LUCKNOW,JET AIRWAYS,24120
2015,Q1,LUCKNOW,SPICEJET,3159
2015,Q1,MADURAI,AIR INDIA,8570
2015,Q1,MADURAI,AIR INDIA EXPRESS,3181
2015,Q1,MADURAI,INDIGO,2198
2015,Q1,MADURAI,JET AIRWAYS,10643
2015,Q1,MADURAI,SPICEJET,1394
2015,Q1,MANGALORE,AIR INDIA,17650
2015,Q1,MANGALORE,AIR INDIA EXPRESS,6551
2015,Q1,MANGALORE,INDIGO,4528
2015,Q1,MANGALORE,JET AIRWAYS,21918
2015,Q1,MANGALORE,SPICEJET,2871
2015,Q1,MUMBAI,AIR INDIA,437347
2015,Q1,MUMBAI,AIR INDIA EXPRESS,162328
2015,Q1,MUMBAI,INDIGO,112207
2015,Q1,MUMBAI,JET AIRWAYS,543095
2015,Q1,MUMBAI,SPICEJET,71138
2015,Q1,NAGPUR,AIR INDIA,1996
2015,Q1,NAGPUR,AIR INDIA EXPRESS,741
2015,Q1,NAGPUR,INDIGO,512
2015,Q1,NAGPUR,JET AIRWAYS,2479
2015,Q1,NAGPUR,SPICEJET,324
2015,Q1,PUNE,AIR INDIA,4747
2015,Q1,PUNE,AIR INDIA EXPRESS,1762
2015,Q1,PUNE,INDIGO,1218
2015,Q1,PUNE,JET AIRWAYS,5895
2015,Q1,PUNE,SPICEJET,772
2015,Q1,TIRUCHIRAPALLY,AIR INDIA,40619
2015,Q1,TIRUCHIRAPALLY,AIR INDIA EXPRESS,15076
2015,Q1,TIRUCHIRAPALLY,INDIGO,10421
2015,Q1,TIRUCHIRAPALLY,JET AIRWAYS,50441
2015,Q1,TIRUCHIRAPALLY,SPICEJET,6607
2015,Q1,TRIVANDRUM,AIR INDIA,77478
2015,Q1,TRIVANDRUM,AIR INDIA EXPRESS,28757
2015,Q1,TRIVANDRUM,INDIGO,19878
2015,Q1,TRIVANDRUM,JET AIRWAYS,96211
2015,Q1,TRIVANDRUM,SPICEJET,12602
2015,Q1,VARANASI,AIR INDIA,1648
2015,Q1,VARANASI,AIR INDIA EXPRESS,612
