AIR INDIA EXPRESS,DAMMAM,KOZHIKODE,25802,27024
AIR INDIA EXPRESS,DAMMAM,MANGALORE,22491,22736
AIR INDIA EXPRESS,DHAKA,DELHI,2819,2339
AIR INDIA EXPRESS,DHAKA,KOLKATA,3270,7563
AIR INDIA EXPRESS,DOHA,KOCHI,11697,15793
AIR INDIA EXPRESS,DOHA,KOLKATA,3619,0
AIR INDIA EXPRESS,DOHA,KOZHIKODE,32794,40525
AIR INDIA EXPRESS,DOHA,MANGALORE,14458,19139
AIR INDIA EXPRESS,DOHA,MUMBAI,20507,26918
AIR INDIA EXPRESS,DOHA,TRIVANDRUM,288,365
AIR INDIA EXPRESS,DUBAI,AMRITSAR,50287,49770
AIR INDIA EXPRESS,DUBAI,DELHI,32887,41710
AIR INDIA EXPRESS,DUBAI,JAIPUR,24613,27100
AIR INDIA EXPRESS,DUBAI,KOCHI,50040,55526
AIR INDIA EXPRESS,DUBAI,KOZHIKODE,96753,107784
AIR INDIA EXPRESS,DUBAI,LUCKNOW,53954,52272
AIR INDIA EXPRESS,DUBAI,MANGALORE,106817,116809
AIR INDIA EXPRESS,DUBAI,MUMBAI,45802,52835
AIR INDIA EXPRESS,DUBAI,PUNE,14348,18870
AIR INDIA EXPRESS,DUBAI,TIRUCHIRAPALLY,50158,51017
AIR INDIA EXPRESS,DUBAI,TRIVANDRUM,46799,49268
AIR INDIA EXPRESS,KUALALUMPUR,CHENNAI,20857,19841
AIR INDIA EXPRESS,KUALALUMPUR,TIRUCHIRAPALLY,6894,5890
AIR INDIA EXPRESS,KUWAIT,KOCHI,3492,3451
AIR INDIA EXPRESS,KUWAIT,KOZHIKODE,29378,27852
AIR INDIA EXPRESS,KUWAIT,MANGALORE,11621,11547
AIR INDIA EXPRESS,KUWAIT,TRIVANDRUM,21,15
AIR INDIA EXPRESS,MUSCAT,KOCHI,43065,39950
AIR INDIA EXPRESS,MUSCAT,KOZHIKODE,55592,54012
AIR INDIA EXPRESS,MUSCAT,MANGALORE,19718,20359
AIR INDIA EXPRESS,MUSCAT,TRIVANDRUM,37169,35026
AIR INDIA EXPRESS,RASALKHAMA,KOZHIKODE,13375,14467
AIR INDIA EXPRESS,RASALKHAMA,TRIVANDRUM,7,8
AIR INDIA EXPRESS,RIYADH,KOZHIKODE,11288,11076
AIR INDIA EXPRESS,RIYADH,TRIVANDRUM,1,2
AIR INDIA EXPRESS,SALALAH,KOCHI,4870,5244
AIR INDIA EXPRESS,SALALAH,KOZHIKODE,7162,8390
AIR INDIA EXPRESS,SALALAH,TRIVANDRUM,2107,3269
AIR INDIA EXPRESS,SHARJAH,AMRITSAR,138,6
AIR INDIA EXPRESS,SHARJAH,CHANDIGARH,12422,12490
AIR INDIA EXPRESS,SHARJAH,DELHI,0,75
AIR INDIA EXPRESS,SHARJAH,KOCHI,53985,57930
AIR INDIA EXPRESS,SHARJAH,KOZHIKODE,55638,62098
AIR INDIA EXPRESS,SHARJAH,LUCKNOW,87,148
